game_id,team,qbId,name,dropbacks,epa,cpoe,cpoePlays
2024_01_ARI_BUF,ARI,00-0035228,K.Murray,38,6.0413,37.0955,31
2024_01_ARI_BUF,BUF,00-0034857,J.Allen,30,15.4113,227.5147,23
2024_01_BAL_KC,BAL,00-0034796,L.Jackson,52,0.2589,-147.4727,40
2024_01_BAL_KC,KC,00-0033873,P.Mahomes,31,12.1064,113.165,27
2024_01_CAR_NO,CAR,00-0027973,A.Dalton,1,-0.621,-71.0001,1
2024_01_CAR_NO,CAR,00-0039150,B.Young,38,-14.5934,-427.4021,28
2024_01_CAR_NO,NO,00-0031280,D.Carr,25,7.2496,315.1995,23
2024_01_CAR_NO,NO,00-0038998,J.Haener,1,-0.5536,-70.5835,1
2024_01_DAL_CLE,CLE,00-0033537,D.Watson,56,-19.6184,-342.4009,43
2024_01_DAL_CLE,DAL,00-0033077,D.Prescott,35,-6.6673,-204.811,31
2024_01_DEN_SEA,DEN,00-0039732,B.Nix,49,-14.988,-213.7706,42
2024_01_DEN_SEA,SEA,00-0030565,G.Smith,29,-2.3193,131.6135,25
2024_01_GB_PHI,GB,00-0036264,J.Love,35,2.8112,-310.5753,31
2024_01_GB_PHI,GB,00-0038128,M.Willis,2,-0.4375,-79.1068,1
2024_01_GB_PHI,PHI,00-0036389,J.Hurts,38,14.1498,36.0609,29
2024_01_HOU_IND,HOU,00-0039163,C.Stroud,38,6.8818,302.7483,31
2024_01_HOU_IND,IND,00-0039164,A.Richardson,24,3.6901,-270.0455,19
2024_01_JAX_MIA,JAX,00-0036971,T.Lawrence,25,2.7007,-4.5842,19
2024_01_JAX_MIA,MIA,00-0036212,T.Tagovailoa,41,5.3244,-275.5896,36
2024_01_LA_DET,DET,00-0033106,J.Goff,31,-3.1989,-211.395,28
2024_01_LA_DET,LA,00-0026498,M.Stafford,51,4.5364,17.5368,48
2024_01_LV_LAC,LAC,00-0036355,J.Herbert,28,-5.3937,-15.6139,25
2024_01_LV_LAC,LV,00-0035289,G.Minshew II,40,-4.522,33.4087,32
2024_01_MIN_NYG,MIN,00-0034869,S.Darnold,26,9.0569,384.0954,23
2024_01_MIN_NYG,NYG,00-0035710,D.Jones,49,-21.25,-404.9339,38
2024_01_NE_CIN,CIN,00-0036442,J.Burrow,35,-4.5308,-2.8068,29
2024_01_NE_CIN,NE,00-0033119,J.Brissett,29,1.3437,26.0522,23
2024_01_NYJ_SF,NYJ,00-0023459,A.Rodgers,22,3.2583,-123.8578,21
2024_01_NYJ_SF,NYJ,00-0028118,T.Taylor,10,3.0363,63.9204,8
2024_01_NYJ_SF,SF,00-0035719,D.Samuel,1,-2.0898,0.0,0
2024_01_NYJ_SF,SF,00-0037834,B.Purdy,32,7.163,35.4945,29
2024_01_PIT_ATL,ATL,00-0029604,K.Cousins,27,-10.9931,-45.6662,23
2024_01_PIT_ATL,PIT,00-0036945,J.Fields,30,0.5197,106.8219,22
2024_01_TEN_CHI,CHI,00-0039918,C.Williams,34,-10.342,-575.3132,29
2024_01_TEN_CHI,TEN,00-0039152,W.Levis,38,-16.4414,131.793,27
2024_01_WAS_TB,TB,00-0034855,B.Mayfield,34,21.1086,380.2819,30
2024_01_WAS_TB,WAS,00-0039910,J.Daniels,34,5.9445,-76.3956,24
2024_02_ATL_PHI,ATL,00-0029604,K.Cousins,32,8.1897,84.4723,29
2024_02_ATL_PHI,PHI,00-0036389,J.Hurts,35,7.454,396.8455,29
2024_02_BUF_MIA,BUF,00-0034857,J.Allen,20,10.8237,75.5617,18
2024_02_BUF_MIA,MIA,00-0036212,T.Tagovailoa,28,-6.9508,76.0031,23
2024_02_BUF_MIA,MIA,00-0037327,S.Thompson,16,-8.1976,-58.6459,14
2024_02_CHI_HOU,CHI,00-0039918,C.Williams,48,-18.2315,-44.1374,34
2024_02_CHI_HOU,HOU,00-0039163,C.Stroud,39,1.6089,-111.1902,34
2024_02_CIN_KC,CIN,00-0036442,J.Burrow,41,3.698,167.7656,34
2024_02_CIN_KC,KC,00-0033873,P.Mahomes,32,-7.8907,106.0055,23
2024_02_CLE_JAX,CLE,00-0033537,D.Watson,38,1.3707,-15.1355,33
2024_02_CLE_JAX,JAX,00-0036971,T.Lawrence,35,-2.0514,-249.0604,27
2024_02_IND_GB,GB,00-0038128,M.Willis,17,9.4107,270.1216,13
2024_02_IND_GB,IND,00-0039164,A.Richardson,36,-4.8287,-252.5387,31
2024_02_LAC_CAR,CAR,00-0039150,B.Young,29,-21.8727,-168.057,26
2024_02_LAC_CAR,LAC,00-0036355,J.Herbert,22,2.0948,145.511,19
2024_02_LA_ARI,ARI,00-0035228,K.Murray,26,21.1348,368.4883,21
2024_02_LA_ARI,LA,00-0026498,M.Stafford,32,-11.1596,37.9823,27
2024_02_LV_BAL,BAL,00-0034796,L.Jackson,36,1.2883,-17.2787,31
2024_02_LV_BAL,LV,00-0035289,G.Minshew II,43,-2.4161,571.8286,36
2024_02_NO_DAL,DAL,00-0033077,D.Prescott,42,-8.254,43.7192,38
2024_02_NO_DAL,DAL,00-0033662,C.Rush,3,-1.9857,-134.3463,3
2024_02_NO_DAL,NO,00-0031280,D.Carr,17,14.0258,45.8743,15
2024_02_NYG_WAS,NYG,00-0035710,D.Jones,32,6.4637,-84.7266,27
2024_02_NYG_WAS,WAS,00-0039910,J.Daniels,38,7.651,185.7785,29
2024_02_NYJ_TEN,NYJ,00-0023459,A.Rodgers,33,1.3266,-250.0463,29
2024_02_NYJ_TEN,TEN,00-0039152,W.Levis,35,-4.4404,187.8309,27
2024_02_PIT_DEN,DEN,00-0039732,B.Nix,39,-9.2853,-143.1049,33
2024_02_PIT_DEN,PIT,00-0036945,J.Fields,26,2.0367,133.2771,18
2024_02_SEA_NE,NE,00-0033119,J.Brissett,32,0.7855,-98.8305,24
2024_02_SEA_NE,SEA,00-0030565,G.Smith,47,9.3496,365.8465,43
2024_02_SF_MIN,MIN,00-0034869,S.Darnold,30,2.5268,16.947,24
2024_02_SF_MIN,MIN,00-0037276,T.Chandler,1,-0.5985,0.0,0
2024_02_SF_MIN,SF,00-0037834,B.Purdy,44,-1.0269,304.1923,36
2024_02_TB_DET,DET,00-0033106,J.Goff,56,-13.5836,-206.4263,52
2024_02_TB_DET,DET,00-0035156,J.Fox,1,3.6374,36.9878,1
2024_02_TB_DET,TB,00-0034855,B.Mayfield,27,-1.1056,-150.8003,19
